length_natural,od,wire_dia,length_max,load_min,load_max,stiffness,material,pkg_qty,part_number,pkg_cost
0.015875,0.0016002,0.0002286,0.028702,0.2668932,2.7578964,192.639448818898,Music-Wire Steel,5,5108N018,13.38
0.015875,0.0016002,0.0002794,0.023622,0.444822,4.8485598,560.405669291339,Music-Wire Steel,5,5108N025,13.38
0.015875,0.0023876,0.000254,0.04064,0.222411,2.668932,105.076062992126,Music-Wire Steel,5,5108N03,13.38
0.015875,0.0023876,0.0002794,0.034036,0.2668932,3.113754,157.614094488189,Music-Wire Steel,5,5108N037,13.38
0.015875,0.0023876,0.0003048,0.030988,0.444822,4.44822,262.690157480315,Music-Wire Steel,5,5108N044,13.38
0.015875,0.0023876,0.0003302,0.027686,0.444822,5.115453,385.278897637795,Music-Wire Steel,5,5108N051,13.38
0.015875,0.0023876,0.0003556,0.025654,0.7561974,6.67233,595.431023622047,Music-Wire Steel,5,5108N058,13.38
0.015875,0.0023876,0.0004064,0.023114,0.8451618,9.563673,1190.86204724409,Music-Wire Steel,5,5108N065,13.38
0.015875,0.003048,0.0004064,0.027178,0.889644,7.117152,577.918346456693,Music-Wire Steel,5,5108N075,10.45
0.015875,0.003048,0.000508,0.022098,1.334466,13.34466,1891.36913385827,Music-Wire Steel,5,5108N092,10.45
0.015875,0.003048,0.0005588,0.020574,1.556877,17.3035758,3204.81992125984,Music-Wire Steel,5,5108N103,10.45
0.015875,0.003175,0.0003556,0.0257556,0.667233,3.3806472,274.949031496063,Music-Wire Steel,12,9654K945,10.05
0.015875,0.003175,0.0004572,0.0204216,1.8237702,6.7612944,1087.5372519685,Music-Wire Steel,12,9654K946,10.05
0.015875,0.004572,0.0003556,0.04445,0.3113754,3.4251294,105.076062992126,Music-Wire Steel,5,5108N115,14.92
0.015875,0.004572,0.0004572,0.031877,0.6227508,6.894741,385.278897637795,Music-Wire Steel,3,9044K11,5.89
0.015875,0.004572,0.0005588,0.025781,0.889644,11.565372,1103.29866141732,Music-Wire Steel,3,9044K33,5.89
0.015875,0.004572,0.0006096,0.023876,1.3789482,15.346359,1733.75503937008,Music-Wire Steel,5,5108N143,14.92
0.015875,0.004572,0.0006604,0.022352,1.779288,18.682524,2626.90157480315,Music-Wire Steel,5,5108N156,14.92
0.015875,0.004572,0.0007366,0.020955,2.3130744,25.8886404,4640.8594488189,Music-Wire Steel,3,9044K53,5.89
0.015875,0.004572,0.0007874,0.020066,2.668932,30.247896,6619.79196850394,Music-Wire Steel,5,5108N177,14.92
0.015875,0.004572,0.0008636,0.01905,3.6030582,39.9005334,10822.834488189,Music-Wire Steel,5,5108N19,14.92
0.015875,0.0047752,0.0004064,0.0284734,0.4893042,3.336165,225.913535433071,Music-Wire Steel,12,9654K947,10.05
0.015875,0.0047752,0.000508,0.0225552,1.2455016,6.2719902,751.293850393701,Music-Wire Steel,12,9654K948,10.05
0.015875,0.006096,0.0004572,0.032639,0.4893042,5.2488996,280.202834645669,Music-Wire Steel,3,9044K176,5.89
0.015875,0.006096,0.0005588,0.026924,0.8451618,9.2078154,753.045118110236,Music-Wire Steel,5,5108N208,14.92
0.015875,0.006096,0.0006604,0.023622,1.334466,14.679126,1698.72968503937,Music-Wire Steel,5,5108N221,14.92
0.015875,0.006096,0.0007366,0.022225,1.779288,20.01699,2889.59173228346,Music-Wire Steel,3,9044K111,5.89
0.015875,0.006096,0.0007874,0.021336,2.22411,23.575566,3992.89039370079,Music-Wire Steel,5,5108N251,14.92
0.015875,0.006096,0.0008636,0.02032,2.891343,31.13754,6304.56377952756,Music-Wire Steel,5,5108N269,14.92
0.015875,0.006096,0.0009398,0.019685,3.558576,38.699514,9579.43440944882,Music-Wire Steel,3,9044K139,5.89
0.015875,0.006096,0.0010414,0.019812,8.89644,57.82686,13835.0149606299,Music-Wire Steel,1,8594N105,4.37
0.01905,0.0016002,0.0002032,0.041656,0.1779288,2.001699,87.5633858267717,Music-Wire Steel,5,5108N012,13.38
0.01905,0.0016002,0.0002286,0.03556,0.2668932,2.7578964,157.614094488189,Music-Wire Steel,5,5108N019,13.38
0.01905,0.0016002,0.0002794,0.028956,0.444822,4.8485598,437.816929133858,Music-Wire Steel,5,5108N026,13.38
0.01905,0.0023876,0.000254,0.0508,0.222411,2.668932,70.0507086614173,Music-Wire Steel,5,5108N031,13.38
0.01905,0.0023876,0.0002794,0.042672,0.2668932,3.113754,122.58874015748,Music-Wire Steel,5,5108N038,13.38
0.01905,0.0023876,0.0003048,0.0381,0.444822,4.44822,210.152125984252,Music-Wire Steel,5,5108N045,13.38
